wallet,roi,trading_frequency,activity_level,portfolio_volatility,sharpe_ratio,historical_loss_ratio,balance
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,0.00023962343628337602,50,15934937469,0.029625409775482694,-0.25564548760253897,0.46,634.765115646
7PypumCQ4wco2bV4UAjCwbrdCdnWwyAacjxRhX3yuz8R,-0.00014455984362256918,50,15923556237,0.027333381441089984,-0.010134398988808782,0.54,782.818484684
EwkH5aEmKEAC2M8eh8x8XVkNyPTZt1PSUH875bXrVmjP,0.38402190803762926,50,15934871901,0.027093498316241936,-0.02701680959136757,0.5,0.391198918
C5YSQjFWwdPcQnEyh51Gt8tTWzRpzAPAyqUi9GX526SD,0.00016298617146401812,50,15935535564,0.02884617465106615,0.049881894080879265,0.52,306.111506067
6UFLbgXz8LX19WbQWZ5zC34oVteXzLbKHXcPfE1hKhvo,-0.02039678156730392,50,15918963899,0.030193929068744272,0.03914753905053949,0.62,14.238409981
5YHnbqDfPonA7PbuY282kigRVBU4Db62DC62z3C61qXG,0.0,50,15792577498,0.030571867489426273,-0.16878993540797782,0.52,0.0
E4VSFquazTV3PrSSKS7TMxuQxRCNBwk5ATVTSNhEUpgk,-0.010248799302366314,50,15935746657,0.02961520593587247,-0.0225526218455239,0.58,22.110883782
j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,-0.00027913885083299684,50,15935735870,0.028903518518277983,0.2825038824622736,0.54,430.601851066
4xo1rsXQ5phK2v9ZpTxXPY4Sc4HQcnCJjqNqrjsQTcBJ,-1.5459106413081305,50,15916750973,0.03122973371919512,0.15782068180203884,0.52,0.009223792
5h3keuByMKzx9HANnPx6usy7dtEacwPTBYnm5sKBxATP,-2.4884680278097354e-05,50,15873935462,0.026313965263958485,-0.0619896564419685,0.5,2439.678629473
6vxAtsX7SJeWf7rCKMTD1iXah8E1z9ACGCAFVTuWoHxd,0.043456288031606886,50,15859872654,0.027214397193776774,-0.101001536191092,0.36,9.7593762
DwtF6KdjB9xgzKhCvcxKQLGU1NezdFFdVo8tLzSb7C8W,-0.00015751070088494186,50,15934933430,0.029829517862012017,-0.20959641187881034,0.52,686.691152563
ApH45VZp3bhgGeFb2UBHTymxkjsGvNbrfAybd8TfXQLu,-0.033873447297812484,50,15911293651,0.028823004004422295,0.0823896169214118,0.48,0.307985831
GV9kvNR1x2KVX3kaacQRrcUjaZTzf67PBZcfVD8JA9Ad,-0.0012271356095028235,50,15878695519,0.028516876954116647,-0.004622276639689968,0.6,90.109028986
95PWQYG96KmCvrAy52c8rJBKm85kTtdrbkdNaBaGBAnr,-0.003997440695255335,50,15935704798,0.029810230489554564,0.0971384942156106,0.58,52.331086277
4EtAJ1p8RjqccEVhEhaYnEgQ6kA4JHR8oYqyLFwARUj6,-1.15257676019227e-05,50,15925014668,0.02928999539612578,0.15453872248126224,0.5,5414.917546307
5QiXtr1GSJcadW9WoAXn9LtZ4Zx5W9BfSWgPKkN5grkh,-0.00016830657631969936,50,15917162373,0.029033804679739827,-0.08129800258602711,0.58,596.811010291
ELEXr8TUa1yC8rQKra5vqE3YZv9iJWv5E57TMKTFh9i6,-0.6524096225753401,50,15860933778,0.027920096610494133,0.38038854775816844,0.58,0.557418154
GG7GdbFPKnyQXXByZVYS84Q6ZmbmvgV873Z3voetoqhm,0.0,50,15901964353,0.03024140333787048,0.02236741006899009,0.54,0.0
HUpPyLU8KWisCAr3mzWy2FKT6uuxQ2qGgJQxyTpDoes5,-0.0001695388616748065,50,15934892264,0.028836620248712107,-0.012659743893426395,0.54,547.202188499
4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS,0.0037686127075910398,50,15935734733,0.029896427869747493,-0.14139487292895012,0.4,46.732432286
AM7Yjn8h6EXCtCddGVromiLmRUXvJam7RHw61fAg6uAU,0.010386576199969706,50,15816177304,0.026471245147614734,0.0954830372782535,0.54,3.580210664
BDuaQnFLA8Lzferf2NfqzsULaVaABbCRycD9CQ7iY2kH,0.02171600488733488,50,15886151615,0.02609523836379123,0.07016449367902446,0.5,6.991030506
CWvdyvKHEu8Z6QqGraJT3sLPyp9bJfFhoXcxUYRKC8ou,0.00026575479238464525,50,15935190287,0.026656578510194675,0.09624372487469089,0.38,1500.434547218
ATmKENkRrL1JQQnoUNAQvkiwgjiHKUkzyncxTGxyzQL1,1.6351271963257432e-05,50,15928684707,0.027627353357721332,0.08235484784088541,0.44,2933.168338636
9JvDTtfGFE3ubMPbYiDzAY9zVPnAvKu7strFxXnPyvTB,-0.6015000166415277,50,15915137140,0.02854640823167101,-0.0624966591474131,0.58,0.214399794
DjByoKZzAPL6WoKksYcrraYyVWDhMZGfZF6gnfmYftRS,7.760864094643248e-05,50,15793036195,0.027968185105976033,-0.11127530524271509,0.56,816.796155271
3FpdUJbrr8ao2iUkfyhQnUuUbHjEW9RVZ24ZgjAseYY8,-0.038664115452732004,50,15927075348,0.030288755168430496,0.2325225735376624,0.54,1.99987702
vLSDgnxeAdmv5rokjZBReEWYUvTsQ1n2vnPnq6xxsM3,4.9059908877667975e-06,50,15887154758,0.028428015674545188,-0.1338782696203463,0.48,7558.291650238
2eNSNbEAcXQgUsXKGs55PjtMYMZCEjKxiQXmN4WZqURj,-0.003932832943310614,50,15787733866,0.03012002413146206,0.22525208616361697,0.52,32.905448998
5t7YKfCGkBSaBTJJXYcMEKifeZMV1dLEY165U6L7BtDF,1.0846929196136503,50,15770368670,0.02687900854632297,0.2807655482894661,0.32,0.264616196
694X5Cuvx6xs4y2aDBu5U1RkZS4RTbcUCZ8qLbH7bVPc,-0.002559375816434756,50,15907500655,0.027607194548594432,-0.07284882040200925,0.52,47.504038724
BUnSHV5Qx76xMNrWxpuTpigN7KRLR6VzcLR4x454NpD2,0.0,50,15745504032,0.02854313601449126,-0.026195663886252184,0.44,0.0
